kind	num	category	decision	deviation	phase	violations	to_fix	waived	checked	note
Rule	20.7	Required	FIX		P1	39	39	0	yes	unparenthesised macro parameter
Rule	20.8	Required	ADOPT			0	0	0	yes	checked and clean
Rule	20.9	Required	ADOPT			0	0	0	yes	checked and clean
Rule	20.10	Advisory	DECLINE			44	0	44	yes	# and ## build the diagnostic and probe macros
Rule	20.11	Required	ADOPT			0	0	0	yes	checked and clean
Rule	20.12	Required	FIX		P1	1	1	0	yes	macro parameter used with # and elsewhere
Rule	20.13	Required	ADOPT			0	0	0	yes	checked and clean
Rule	20.14	Required	ADOPT			0	0	0	yes	checked and clean
Rule	21.1	Required	FIX		P1	9	9	0	yes	#define on a reserved identifier is undefined
Rule	21.2	Required	ADOPT			0	0	0	yes	checked and clean
Rule	21.3	Required	DEVIATE	D-01		2597	0	2597	yes	malloc/free is the memory model: ARC, arenas, xalloc
Rule	21.4	Required	DEVIATE	D-10		3	0	3	yes	setjmp/longjmp implements t.Fatal in goo test
Rule	21.5	Required	ADOPT			0	0	0	yes	checked and clean
Rule	21.6	Required	DEVIATE	D-04		1372	0	1372	yes	a compiler must print diagnostics
Rule	21.7	Required	FIX		P1	11	11	0	yes	atoi/atof cannot report an error; use strtol
Rule	21.8	Required	DEVIATE	D-09		14	0	14	yes	exit() carries the compiler's exit status
Rule	21.9	Required	FIX		P2	1	1	0	yes	bsearch/qsort
Rule	21.10	Required	DEVIATE	D-08		47	0	47	yes	the compiler measures and reports time
Rule	21.11	Required	ADOPT			0	0	0	yes	checked and clean
Rule	21.12	Advisory	ADOPT			0	0	0	yes	checked and clean
Rule	21.13	Mandatory	ADOPT_OTHER			0	0	0	no	no cppcheck check; review, sanitizer or fuzzer
Rule	21.14	Required	ADOPT			0	0	0	yes	checked and clean
Rule	21.15	Required	FIX		P1	2	2	0	yes	memcpy pointer argument types
Rule	21.16	Required	FIX		P1	5	5	0	yes	memcmp on pointers to different types
Rule	21.17	Mandatory	ADOPT_OTHER			0	0	0	no	no cppcheck check; review, sanitizer or fuzzer
Rule	21.18	Mandatory	ADOPT_OTHER			0	0	0	no	no cppcheck check; review, sanitizer or fuzzer
Rule	21.19	Mandatory	ADOPT			0	0	0	yes	checked and clean
Rule	21.20	Mandatory	ADOPT			0	0	0	yes	checked and clean
Rule	21.21	Required	OUT			3	0	0	yes	added by a later amendment; no text in this edition
Rule	22.1	Required	ADOPT_OTHER			0	0	0	no	no cppcheck check; review, sanitizer or fuzzer
Rule	22.2	Mandatory	ADOPT_OTHER			0	0	0	no	no cppcheck check; review, sanitizer or fuzzer
Rule	22.3	Required	ADOPT_OTHER			0	0	0	no	no cppcheck check; review, sanitizer or fuzzer
Rule	22.4	Mandatory	ADOPT_OTHER			0	0	0	no	no cppcheck check; review, sanitizer or fuzzer
Rule	22.5	Mandatory	ADOPT			0	0	0	yes	checked and clean
Rule	22.6	Mandatory	ADOPT_OTHER			0	0	0	no	no cppcheck check; review, sanitizer or fuzzer
Rule	22.7	Required	ADOPT			0	0	0	yes	checked and clean
Rule	22.8	Required	FIX		P1	18	18	0	yes	errno not cleared before the call
Rule	22.9	Required	FIX		P1	18	18	0	yes	errno not tested after the call
Rule	22.10	Required	FIX		P1	2	2	0	yes	errno tested after a non-errno-setting call
Dir	1.1	Required	ADOPT_OTHER			0	0	0	no	docs/adr and docs/*-roadmap record the choices
Dir	2.1	Required	ADOPT			0	0	0	no	make verify-core fails on any compilation error
Dir	3.1	Required	ADOPT_OTHER			0	0	0	no	task-master and the roadmap exit gates
Dir	4.1	Required	ADOPT_OTHER			0	0	0	no	valgrind, ASan, TSan probes and the parser fuzzer
Dir	4.2	Advisory	ADOPT			0	0	0	no	one site, commented: the compiler barrier in crypto_secure_memzero, src/security/crypto_security.c:42
Dir	4.3	Required	ADOPT			0	0	0	no	the one asm statement is isolated inside crypto_secure_memzero and emits no instructions
Dir	4.4	Advisory	ADOPT_OTHER			0	0	0	no	code review
Dir	4.5	Advisory	ADOPT_OTHER			0	0	0	no	code review; Rules 5.1-5.9 carry most of this
Dir	4.6	Advisory	DECLINE			0	0	0	no	int and size_t are the house types, not sized typedefs
Dir	4.7	Required	ADOPT_OTHER			0	0	0	no	paired with Rule 17.7; see deviation D-02
Dir	4.8	Advisory	DECLINE			0	0	0	no	opaque types would fight the AST downcast pattern
Dir	4.9	Advisory	DECLINE			0	0	0	no	the probe and diagnostic macros need to be macros
Dir	4.10	Required	ADOPT			0	0	0	no	every header carries an include guard
Dir	4.11	Required	ADOPT_OTHER			0	0	0	no	code review and the fuzzer
Dir	4.12	Required	DEVIATE	D-11		0	0	0	no	dynamic memory allocation is the memory model
Dir	4.13	Advisory	ADOPT_OTHER			0	0	0	no	code review
Dir	4.14	Required	ADOPT_OTHER			0	0	0	no	the parser fuzzer is the main enforcement here
